Cycles — 261 words
  וכאשם → cycle at וכאשם
  ולאשם → cycle at ולאשם
  ולחמי → cycle at ולחמי
  ולמבית → cycle at ולמבית
  ולמשא → cycle at ולמשא
  ומחיר → cycle at ויחרם
  ומפרי → cycle at ופרים
  ומתה → cycle at תהום
  ונבא → cycle at ונבא
  ונגד → cycle at ונגד
  ונחלה → cycle at ונחלה
  ונחרם → cycle at ונחרם
  ונחשב → cycle at ונחשב
  ונמצאו → cycle at ונמצאו
  ונעבר → cycle at ונעבר
  ועבדום → cycle at ועבדום
  ופטר → cycle at ופטר
  ופנה → cycle at ופנה
  ופני → cycle at וינף
  ופעל → cycle at לעוף
  ופרט → cycle at וטרף
  ופרים → cycle at ופרים
  וצמאון → cycle at וצמאון
  וקם → cycle at קמו
  וקמת → cycle at תקום
  וראיתם → cycle at ואיתמר
  ושמאל → cycle at ולאשם
  ותבלען → cycle at ותבלען
  ותכן → cycle at ותכן
  ותקם → cycle at קמתו
  ותרם → cycle at ותרם
  זכרון → cycle at זכרון
  זכרנו → cycle at זכרנו
  חבר → cycle at רחב
  חלה → cycle at החל
  חלן → cycle at חלן
  חמדן → cycle at חמדן
  חמר → cycle at חרם
  חמש → cycle at חמש
  חמת → cycle at חמת
  חן → cycle at חן
  חרב → cycle at בחר
  חרון → cycle at חרון
  חרם → cycle at חרם
  חרמון → cycle at חרמון
  חשבון → cycle at חשבון
  חשם → cycle at חשם
  חשן → cycle at חשן
  חתם → cycle at חתם
  טרף → cycle at טרף
  יאמץ → cycle at יאמץ
  ידבנו → cycle at ודיבן
  ידעתם → cycle at עמדתי
  ימצא → cycle at אצים
  יענה → cycle at העין
  יפרם → cycle at מפרי
  יתן → cycle at יתן
  לבדהן → cycle at לבדהן
  לבדנה → cycle at לבדהן
  לבן → cycle at לבן
  לחה → cycle at לחה
  לנדבה → cycle at לנדבה
  לנח → cycle at חלן
  לעוף → cycle at לעוף
  לעמך → cycle at לעמך
  מאבת → cycle at באתם
  מאלוש → cycle at ולאשם
  מאשר → cycle at ראשם
  מאת → cycle at אתם
  מבאר → cycle at אברם
  מבית → cycle at בתים
  מדודאי → cycle at מדודאי
  מהרי → cycle at מהרי
  מחר → cycle at חרם
  מחרון → cycle at ונחרם
  מכם → cycle at מכם
  ממך → cycle at ממך
  מנה → cycle at מנה
  מנעליך → cycle at מנעליך
  מנשה → cycle at השמן
  מעבדי → cycle at מעבדי
  מעליך → cycle at מעליך
  מעמך → cycle at מעמך
  מפרי → cycle at מפרי
  מפריו → cycle at מפריו
  מצאי → cycle at אצים
  מקריב → cycle at מקריב
  מראש → cycle at ראשם
  משא → cycle at אשם
  משאר → cycle at ראשם
  משח → cycle at חשם
  משלש → cycle at משלש
  משנה → cycle at משנה
  משענתו → cycle at משענתו
  מת → cycle at מת
  מתור → cycle at מתור
  נבו → cycle at ובן
  נבוא → cycle at ואבן
  נבל → cycle at נבל
  נהג → cycle at נהג
  נהר → cycle at נהר
  נח → cycle at נח
  נחור → cycle at נחור
  נחל → cycle at נחל
  נחמד → cycle at נחמד
  נחש → cycle at נחש
  נעליכם → cycle at נעליכם
  נקי → cycle at נקי
  נשמה → cycle at השמן
  עבדים → cycle at עבדים
  עברנו → cycle at רעבון
  עינה → cycle at העין
  עליכם → cycle at עליכם
  עלכם → cycle at עלכם
  עמדיה → cycle at עמדיה
  עמדתי → cycle at עמדתי
  עמה → cycle at עמה
  עמכם → cycle at עמכם
  ערבון → cycle at ונעבר
  עתדים → cycle at עתדים
  פטר → cycle at פטר
  פלוא → cycle at פלוא
  פניו → cycle at פניו
  פעלו → cycle at פעלו
  פרא → cycle at אפר
  פרים → cycle at פרים
  קברים → cycle at קברים
  קום → cycle at קום
  קין → cycle at קין
  קמה → cycle at קמה
  קמו → cycle at קמו
  קמת → cycle at קמת
  קמתו → cycle at קמתו
  קני → cycle at קין
  קרבים → cycle at מקריב
  ראם → cycle at אמר
  ראשונה → cycle at ראשונה
  ראשם → cycle at ראשם
  ראשנה → cycle at הראשן
  רחב → cycle at רחב
  רחם → cycle at רמח
  רחמיו → cycle at רחמיו
  רכב → cycle at רכב
  רמח → cycle at רמח
  רעבון → cycle at רעבון
  רפא → cycle at רפא
  שלשם → cycle at שלשם
  שמאלו → cycle at ולאשם
  שמואל → cycle at ולאשם
  שמח → cycle at חשם
  שמנה → cycle at השמן
  תבלענו → cycle at תבלענו
  תהום → cycle at תהום
  תיראום → cycle at תיראום
  תם → cycle at תם
  תנוך → cycle at תנוך
  תני → cycle at תני
  תעשון → cycle at תעשון
  תעשנו → cycle at תעשנו
  תקום → cycle at תקום
  תקם → cycle at תקם
  תרבון → cycle at תרבון
  תשמעון → cycle at תשמעון
